,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
163,,,,,,,,,,1.0:172800,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
164,,,,,,,,,,1.0:172801,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
165,,,,,,,,,,1.0:172802,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
166,,,,,,,,,,1.0:172803,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
167,,,,,,,,,,1.0:172804,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
168,,,,,,,,,,1.0:172805,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
169,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
170,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
171,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
172,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
173,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
174,,,yes,,,,,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
175,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.25000,0.25000,0.25000,,0.25000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
176,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
177,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
178,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
179,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
180,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
181,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
182,,,,yes,,,,,,,,,,,,,,,,,,,,,,0.11111,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
183,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.20000,,,,0.20000,,0.20000,,,,,,,0.20000,,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
184,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.25000,,,,,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
185,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.25000,,,,,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
186,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.25000,,,,,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
187,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.25000,,,,,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
188,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.25000,,,,,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
189,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,0.25000,,,,,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
190,,,,,,1,,,,1.0:172800,,,,,,,,,,,,,,,,,,,,0.25000,,0.25000,,,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
191,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
192,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
193,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
194,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
195,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
196,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
197,,,,,,>1,,,,,,,,,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,,,,,,,0.14286,0.14286,0.14286,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
198,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.33333,0.33333,,,,,,,,,0.33333,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
199,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
201,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
202,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
203,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
204,,,,,,>1,,,,>7200,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
205,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,0.20000,0.20000,,,,,,,,,,,0.20000,0.20000,,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
206,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
207,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
208,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
209,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
210,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333,0.33333,,,0.33333,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
211,,,,,,>1,,,,1.0:172800,,,,,,,,,,,,,,,,,0.25000,,,,,,,,,,,0.25000,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
212,,,,,,,,,,,,,,1.0:3,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
213,,,,,,,,,,,,,,1.0:3,,,,,,,,,,,,,0.33333,0.33333,,,,,,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
214,,,,,,,,,,,,,,1.0:3,,,,,,,,,,,,,0.11111,0.11111,0.11111,,,0.11111,0.11111,0.11111,,,,0.11111,0.11111,,,0.11111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
215,,,,,,,,,,,,,,4.0:10,,,,,,,,,,,,,0.16667,,,,,0.16667,0.16667,,,,,0.16667,0.16667,,,0.16667,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
216,,,,,,,,,,,,,,4.0:10,,,,,,,,,,,,,0.14286,0.14286,0.14286,0.14286,,0.14286,0.14286,0.14286,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
217,,,,,,,,,,,,,,4.0:10,,,,,,,,,,,,,0.50000,,,,,,,,,,,,0.50000,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
218,,,,,,,,,,,,,,> 10,,,,,,,,,,,,,0.50000,,,,,,,,,,,,0.50000,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
219,,,,,,,,,,,,,,> 10,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
220,,,,,,,,,,,,,,> 10,,,,,,,,,,,,,,,,0.33333,,0.33333,0.33333,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
221,,,,,,,,,,,,,,> 10,,,,,,,,,,,,,,,0.16667,,,0.16667,0.16667,,,,,0.16667,0.16667,,,0.16667,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
222,,,,,,,,,,,,,,,,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,0.20000,,0.20000,,,0.20000,,,,,,,0.20000,,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
223,,,,,,,,,,,,,,,,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
224,,,,,,,,,,,,,,,,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,0.33333,0.33333,,,,,,,,,,,0.33333,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
225,,,,,,,,,,,,,,,,,,,,,,,Online,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
226,,,,,,,,,,,,,,,,,,,,,,,Online,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
227,,,,,,,,,,,,,,,,,,,,,,,Online,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
228,,,,,,,,,,,,,,,,,,,,,,,Online,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
229,,,,,,,,,,,,,,,,,,,,,,,Online,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
230,,,,,,,,,,,,,,,,,,,,,,,Online,,,0.20000,,,,,,,,,,,,0.20000,0.20000,0.20000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
231,medium,medium,,,,1,,,,1.0:86400,Convolutional Neural Net,no,,,,,,,Image Data,>50000,,yes,,Multiclass Classification,Image Recognition,0.50000,0.25000,0.25000,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
232,high,high,,,Linux,>1,,,,>1296000,Convolutional Neural Net,no,,,,,,,Image Data,>100000,,yes,,Object Detection,Object Detection,0.20000,,0.40000,0.40000,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
233,high,low,,,,>1,,,,>1296000,Convolutional Neural Net,no,,,,,,,Image Data,,,yes,,Multiclass Classification,Image Recognition,0.20000,,,0.10000,0.10000,,,,,,,,,,0.40000,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
234,high,medium,no,yes,Windows,1,Process Parameter Prediction,,>200,>172800,LSTM,no,,,,"[continuous, discrete, ordinal, nominal]",,,Tabular Data ,>1000000,1.0:4,yes,Offline,Regression,Time Series Prediction,0.12500,0.12500,,,,,0.12500,0.12500,0.12500,,,,0.12500,0.12500,,,0.12500,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
235,medium,medium,no,yes,Windows,1,Predictive Quality,,,7200.0:172800,Random Forest,yes,yes,,,"[continuous, discrete, ordinal, nominal]",,,Tabular Data ,1000.0:10000,1.0:4,no,Offline,Binary Classification,Time Series Prediction,0.20000,,,,,,0.20000,,0.20000,,,,,0.20000,,,0.20000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
236,medium,medium,no,yes,Windows,1,Predictive Maintenance,,,>172800,Random Forest,no,yes,,,"[continuous, discrete, ordinal, nominal]",,,Tabular Data ,>1000000,1.0:4,yes,Offline,Multiclass Classification,,0.14286,,,,,,0.14286,0.14286,0.14286,,,,0.14286,0.14286,,,0.14286,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
237,high,medium,no,yes,Linux,>1,Predictive Quality,,,7200.0:172800,XGBoost,no,,,,"[continuous, discrete, ordinal, nominal]",,,Tabular Data ,>1000000,>4,yes,Offline,Multiclass Classification,,0.25000,,,,,,,,0.25000,,,,,0.25000,,,0.25000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
238,high,medium,no,no,Windows,1,Process Design,,>200,7200.0:172800,Random Forest,yes,yes,,,"[continuous, discrete, ordinal, nominal]",,,Tabular Data ,1000.0:10000,1.0:4,yes,Offline,Binary Classification,,0.33333,0.33333,,,,,,,0.33333,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
239,high,high,no,yes,Linux,>1,Process Parameter Prediction,,>200,>172800,Gradient Boosting Machine,no,,,yes,"[continuous, discrete, ordinal, nominal]",,,Tabular Data ,>1000000,1.0:4,yes,Offline,Regression,Time Series Prediction,0.14286,,,,,,0.14286,0.14286,0.14286,,,,0.14286,0.14286,,,0.14286,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
240,,,,,,,,,,,,yes,,,,,,,,>100000,1.0:4,yes,Offline,Regression,Time Series Prediction,0.12500,0.12500,,,,,0.12500,0.12500,0.12500,,,,0.12500,0.12500,,,0.12500,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
241,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,0.14286,,,0.14286,0.14286,0.14286,,0.14286,,,0.14286,,,0.14286,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
242,,low,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
