Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: access to parallel computing?;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0323;31;0,0769;13;0,0769;13;0,1429;7;0,0109;92;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0270;37;0,0078;129;0,0086;116;0,0077;130;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0105;95;;24,89;13,73;7,14;13,08;11,02;2,21;28,52;20,09;23,40;2,66;9,77;3,63;10,57;21,21;9,88;5,49;27,33;4,37;;;;;;;;;;;
206;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;206;;;;;;;;;;;;;0,33333;0,33333;;;0,33333;;;;;;;;;;;;
207;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207;;;;;;;;;;;;;0,33333;0,33333;;;0,33333;;;;;;;;;;;;
208;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208;;;;;;;;;;;;;0,33333;0,33333;;;0,33333;;;;;;;;;;;;
209;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;;;;;;;;;;0,33333;0,33333;;;0,33333;;;;;;;;;;;;
210;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210;;;;;;;;;;;;;0,33333;0,33333;;;0,33333;;;;;;;;;;;;
211;;;;;;;;;;;;yes;0,01087;;;;;;;;;;;1.0:172800;0,00629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211;;0,25000;;;;;;;;;;;0,25000;0,25000;;;0,25000;;;;;;;;;;;;
212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:3;0,00775;;;;;;;;;;;;;;;;;;;;;;;;212;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;1:3 HPs;;;;;;
213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:3;0,00775;;;;;;;;;;;;;;;;;;;;;;;;213;;0,33333;0,33333;;;;;;0,33333;;;;;;;;;;;;;;;;;;;;
214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:3;0,00775;;;;;;;;;;;;;;;;;;;;;;;;214;;0,11111;0,11111;0,11111;;;0,11111;0,11111;0,11111;;;;0,11111;0,11111;;;0,11111;;;;;;;;;;;;
215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0:10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;215;;0,16667;;;;;0,16667;0,16667;;;;;0,16667;0,16667;;;0,16667;;;;;;4:10 HPs;;;;;;
216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0:10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;216;;0,14286;0,14286;0,14286;0,14286;;0,14286;0,14286;0,14286;;;;;;;;;;;;;;;;;;;;
217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0:10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;217;;0,50000;;;;;;;;;;;;0,50000;;;;;;;;;;;;;;;
218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;> 10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;218;;0,50000;;;;;;;;;;;;0,50000;;;;;;;;;>10 HPs;;;;;;
219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;> 10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;219;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;;;;;;
220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;> 10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;220;;;;;0,33333;;0,33333;0,33333;;;;;;;;;;;;;;;;;;;;;
221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;> 10;0,00775;;;;;;;;;;;;;;;;;;;;;;;;221;;;;0,16667;;;0,16667;0,16667;;;;;0,16667;0,16667;;;0,16667;;;;;;;;;;;;
222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;;;;;;;;;;;;;;;222;;0,20000;;0,20000;;;0,20000;;;;;;;0,20000;;;0,20000;;;;;;different HP data types;;;;;;
223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;;;;;;;;;;;;;;;223;;;;;;;;;;;;;;;;;1,00000;;;;;;;;;;;;
224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;;;;;;;;;;;;;;;224;;0,33333;0,33333;;;;;;;;;;;0,33333;;;;;;;;;;;;;;;
225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;225;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;online models should be trained fast ;;;;;;
226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;226;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;227;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;228;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;229;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;230;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
231;;medium;0,04167;medium;0,03226;;;;;;;no;0,01087;;;;;;;;;;;1.0:86400;0,00629;;Convolutional Neural Net;0,00855;no;0,02703;;;;;;;;;;;;;;;;Image Data;0,00952;>50000;0,01136;;;yes;0,05000;;;Multiclass Classification;0,00862;Image Recognition;0,01053;231;0,50000;0,25000;0,25000;;;;;;;;;;;;;;;;;;KEL new rules;;Andres Posada;;;;;;
232;;high;0,04167;high;0,03226;;;;;Linux;0,14286;yes;0,01087;;;;;;;;;;;>1296000;0,00629;;Convolutional Neural Net;0,00855;no;0,02703;;;;;;;;;;;;;;;;Image Data;0,00952;>100000;0,01136;;;yes;0,05000;;;Object Detection;0,00862;Object Detection;0,01053;232;0,20000;;0,40000;0,40000;;;;;;;;;;;;;;;;;;;;;;;;;
233;;high;0,04167;low;0,03226;;;;;;;yes;0,01087;;;;;;;;;;;>1296000;0,00629;;Convolutional Neural Net;0,00855;no;0,02703;;;;;;;;;;;;;;;;Image Data;0,00952;;;;;yes;0,05000;;;Multiclass Classification;0,00862;Image Recognition;0,01053;233;0,20000;;;0,10000;0,10000;;;;;;;;;;0,40000;;0,20000;;;;;;;;;;;;
234;;high;0,04167;medium;0,03226;no;0,07692;yes;0,07692;Windows;0,14286;no;0,01087;;Process Parameter Prediction;0,01754;;;;>200;0,02857;;;>172800;0,00629;;LSTM;0,00855;no;0,02703;;;no;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;1.0:4;0,01205;yes;0,05000;offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;234;0,12500;0,12500;;;;;0,12500;0,12500;0,12500;;;;0,12500;0,12500;;;0,12500;;;;;;Maik Frye;;;;;;
235;;medium;0,04167;medium;0,03226;no;0,07692;yes;0,07692;Windows;0,14286;no;0,01087;;Predictive Quality;0,01754;;;;;;;;7200.0:172800;0,00629;;Random Forest;0,00855;yes;0,02703;yes;0,02703;no;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;1000.0:10000;0,01136;1.0:4;0,01205;no;0,05000;offline;0,00826;Binary Classification;0,00862;Time Series Prediction;0,01053;235;0,20000;;;;;;0,20000;;0,20000;;;;;0,20000;;;0,20000;;;;;;;;;;;;
236;;medium;0,04167;medium;0,03226;no;0,07692;yes;0,07692;Windows;0,14286;no;0,01087;;Predictive Maintenance;0,01754;;;;;;;;>172800;0,00629;;Random Forest;0,00855;no;0,02703;yes;0,02703;no;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;1.0:4;0,01205;yes;0,05000;offline;0,00826;Multi-class Classification;0,00862;;;236;0,14286;;;;;;0,14286;0,14286;0,14286;;;;0,14286;0,14286;;;0,14286;;;;;;;;;;;;
237;;high;0,04167;medium;0,03226;no;0,07692;yes;0,07692;linux;0,14286;yes;0,01087;;Predictive Quality;0,01754;;;;;;;;7200.0:172800;0,00629;;XGBoost;0,00855;no;0,02703;;;no;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;>4;0,01205;yes;0,05000;offline;0,00826;Multi-class Classification;0,00862;;;237;0,25000;;;;;;;;0,25000;;;;;0,25000;;;0,25000;;;;;;;;;;;;
238;;high;0,04167;medium;0,03226;no;0,07692;no;0,07692;Windows;0,14286;no;0,01087;;Process Design;0,01754;;;;>200;0,02857;;;7200.0:172800;0,00629;;Random Forest;0,00855;yes;0,02703;yes;0,02703;;;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;1000.0:10000;0,01136;1.0:4;0,01205;yes;0,05000;offline;0,00826;Binary Classification;0,00862;;;238;0,33333;0,33333;;;;;;;0,33333;;;;;;;;;;;;;;;;;;;;
239;;high;0,04167;high;0,03226;no;0,07692;yes;0,07692;Linux;0,14286;yes;0,01087;;Process Parameter Prediction;0,01754;;;;>200;0,02857;;;>172800;0,00629;;Gradient Boosting Machine;0,00855;no;0,02703;;;;;;;yes;0,00862;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;1.0:4;0,01205;yes;0,05000;offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;239;0,14286;;;;;;0,14286;0,14286;0,14286;;;;0,14286;0,14286;;;0,14286;;;;;;;;;;;;
240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,02703;;;;;;;;;;;;;;;;;;>100000;0,01136;1.0:4;0,01205;yes;0,05000;offline;0,00826;Regression;0,00862;Time Series Prediction;0,01053;240;0,12500;0,12500;;;;;0,12500;0,12500;0,12500;;;;0,12500;0,12500;;;0,12500;;;;;;;;;;;;
241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;1,00000;;;;;;;;;;;;;;;;;;241;;;;0,14286;;;0,14286;0,14286;0,14286;;0,14286;;;0,14286;;;0,14286;;;;;;Maximilian Mutz;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Knock-out Rules;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
